ID,Use Case,AI Product,Delivery Owner,Status,Current Phase,Lifecycle Sub-Step,AI Governance Step,AI PO,AI Strategist,Buy/Build/Adapt,Submitter,Business Partner,Business Area,Executive Summary,Build Lead,Priority,Risk Assessment,Comments,Problem Statement,Description,Governance Notes,Timing Considerations,Is Real Data Required?,Does it Drive Internal Efficiency?,Data Scope,AI Solution or Tools of Interest,Build Status,Does it leverage AI on Products?,Build Notes,PV ID,Risk Level,In Scope,Modified By,Submission Date,Created,Submission Year,Intake & Triage Date,Risk Review Date,AI OC Review Date,AI GB Review Date,AI ARC Complete Date,Deployment/Approval Date,Completion,Stakeholders,In Build Team Scope,ADO Epic,Doc link. Funding Commitment Form,Doc link. Level of Effort,Doc link. Functional Design Document,Doc link. Technical Design Document,Doc link. Application Installation Quallification (AIQ),Doc link. Code Review,Doc link. Runbook,Doc link. Hypercare Exit Criteria,Doc link. SIT Test Scripts,Doc link. UAT Test Scripts,Modified,Total Priority,AI Validation Status,AI Monitoring Required,AI Safety and Performance Status,Financial ROI,Strategic Priority,Continuity,Regulatory priority level,Total Priority McKensey,Business Unit: Group,LOE Tshirt Size,Projected Value $,Doc link. BCFM,Doc link. URS Requirements,ROM / LOE Total Amount,Feasibility (Complexity & Data Readiness),Scalability or Reusability,Total Priority -Opt
205,Coupa Navi,,,In-Progress,3. Evaluation,01. Use Case Submission,Pending Assessments / AI ARC,"Flores, Fernando",,Buy,"OLeary, Colette","Dineen, Michael",EDT,,,Routine,/:x:/s/AIStrategy/IQBWgAU5vBoJSpJ05OEJ6aR5AVxsUR20XrMVo13dns7tqhQ?e=lqHHXf,,,"The AI is a new feature of an existing app that Stryker uses, called Coupa. The functionality of this AI would be having a live support chat tool, to help Coupa users navigate the app, and also create better scenarios, or get reviews of their inputs.","01/16/2025: Confirmed to present I&T Feb 3rd. CC in the invite: tommy.mcgrath4@stryker.com, michael.dineen@stryker.com, frank.moloney@stryker.com and candelamaria.muino@stryker.com
02/02/2026: Collette confirmed that she will not be able to present the use case on Feb 3rd. I am asking and pending to confirm if she is able to present it on Feb 17th...
02/13/2026: No Intake and schedule risk review.
***Waiting for Michael Dineen Response.
02/18/2026> John OFlyinn will present and asked to forward the invite to Tommy McGrath",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",1/8/26,1/8/26 6:04,2026,,2/25/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:04,30,Not Assessed,,Required,,,,,0,EDT,,,,,,,,0
206,Enterprise Risk and Strategy Analysis Agent,,,In-Progress,1. Ideation,02. Intake & Triage,Pending Risk Review,"De la Torre, Gustavo","Heller, Amanda",Build,"Goldener, John","Eavey, Ryan",Legal,,,Routine,/:x:/s/AIStrategy/IQCNDNZVUvzHR5VxAqoCjBGiATRiDyAKae5OurawPpAR0Ns?e=tdUTY5,,,"It is currently very difficult to integrate all of the varied inputs that go into identifying enterprise and strategy-level risks; this agent aims to help identify trends, blind spots, and opportunities to help with both the risk management and strategy formulation processes. Since we currently rely completely on human analysis, we may miss critical correlations and insights needed. We also need to find ways to integrate more quantitative information into the analyses.","01/09/2026: Quick call with John: He will build the agent but will need help to create the SP connection.
01/16/2026: John was not able to present it on Feb 3rd. He proposed Feb 10th for I&T presentation.
02/10/2026: I&T: agreed to create a Planview demand record to track the request, conduct a pre-DRB review with the data team, and define the scope for a time-boxed proof of concept (2–4 weeks). No risk review scheduled until the proof of concept is complete.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"De la Torre, Gustavo",1/9/26,1/9/26 13:16,2026,2/10/26,,,,,,0%,,No,,,,,,,,,,,,3/17/26 12:06,41,Not Assessed,,Required,3,3,3,0,9,Corporate,,"$344,000.00 ",,,"$309,000.00 ",5,1,54.32
207,Claude Code for Surgical Technologies,,,New Submission,1. Discovery,01. Use Case Submission,Pending Intake & Triage,"Flores, Fernando",,Buy,"Griffin, Martin","Herweg, CJ",Instruments,,,Routine,/:x:/s/AIStrategy/IQBBasCRBS0YQpmcgjgHORmnAcibnLwksI2QVKP1DahlJqY?e=LNcBGN,,,"Claude Code is an agentic AI coding assistant from Anthropic that enables software developers to accelerate development of medical device software (web, mobile, and cloud applications) through AI-assisted code generation, debugging, code review, and documentation. 

The tool will be used by the ST Digital Innovations team to:
- Accelerate development of SurgiCount+ platform features
- Assist with code debugging and troubleshooting
- Generate and review code for web, mobile (iOS/Android), and cloud applications
- Support documentation creation and code commenting
- Improve code quality through AI-assisted review

All AI-generated code will be reviewed by human developers before integration into any regulated medical device software.","01/20/2026: Martin will be OOO the week of Feb 3rd so he is able to present on Feb 10th. He is PST so will be great if he presents 1st.
02/09/2026: Agreed with Matt to speak 1st with Brad to confirm if this use case is the same as the one they are working.
02/13/2026: This is not the same use case as Brad´s. Martin and CJ will continue with the POC process and they will contact us to schedule the reviews.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",1/9/26,1/9/26 13:36,2026,,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:14,30,Not Assessed,,Required,,,,,0,Commercial US,,,,,,,,0
209,Legacy Design Control Transition into JAMA,,,Completed,8. Cancelled,01. Use Case Submission,New Use Case,"Ballestero, Michael","Heller, Amanda",Build,"Williams, Lauren","Perez, Dianet",Joint Replacement,,,Routine,/:x:/s/AIStrategy/IQAvfYl9a4mnRbX2gXMaIuLcAeQILh7TaBUIRCsA8CluvmI?e=2HFJhf,,,"This use case focuses on moving legacy design control documents into the JAMA system to modernize and centralize how requirements are managed. Each requirement must be reviewed to determine whether it is universal or device‑specific, then mapped or imported into JAMA in a consistent format. AI can streamline this process by automating classification, mapping, and formatting, reducing the heavy manual effort caused by varying document structures. It can also organize everything into the right format for import, reducing manual work and mistakes. ",01/16/2026: Need to confirm Q3 and if it would be a build.,,TRUE,TRUE,,Needs to be confirmed,0-Not Assigned,TRUE,,,High,Yes,"Perez, Alfonso",1/14/26,1/16/26 6:03,2026,,,,,,,0%,,No,,,,,,,,,,,,3/6/26 14:15,30,Not Assessed,,Required,,,,,0,Commercial US,,,,,,,,0
210,Smart Care Digital Solutions Chatbot,,,New Submission,1. Ideation,01. Use Case Submission,,"De la Torre, Gustavo","De la Torre, Gustavo",Build,"Brack, Austin",,Cross-Divisional,,,,/:x:/s/AIStrategy/IQB9mog3OUctTbeiUuNf6Cx9AVIr3qC-cm2HPdvN3UpGv1M?e=drSywR,,,Austin is developing his own chatbot using Copilot Studio with the interest of automating Q&A functionalities across his teams.,02/16/2026: There is not info about this use case. I will confirm with Gus.,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Ballestero, Michael",1/16/26,1/16/26 10:03,,,,,,,,0%,,No,,,,,,,,,,,,3/17/26 11:32,41,Not Assessed,,Required,,,,,0,Cross-Divisional,,,,,,,,0
211,UiPath Maestro and Azure AI Foundry Integration,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Arguedas, Andre","Heller, Amanda",Buy,"Calderon, Beinor Fabian","Tagliaferro, Barb",EDT,,,Routine,/:x:/s/AIStrategy/IQDz82P0MflPQrCW0McOjEF2AYDEW3jwAqJeZTBZxrt_94E?e=Bs90nq,,,Establish the integration between UiPath and Azure AI foundry. Approve UiPath maestro to serve as an implementation platform for agents,"02/03/2026: I&T: once contract language is confirmed to address data handling and privacy concerns, the process to enable Maestro can move forward. Marcelo and Kenneth will coordinate with Steven to finalize the review, and Olivier will ensure the request is routed through the appropriate AI governance channels. No risk review and AI Operating Committee required.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Low,Yes,"Abreu, Matthew",1/27/26,1/27/26 9:34,2026,2/3/26,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:08,56,Not Assessed,,Required,1,5,3,0,9,EDT,,,,,,,,33
212,AI Powered role play support tool,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Ballestero, Michael",,Buy,"Tokuda, Chiaki","Ogawa, Satoshi",Joint Replacement,,,Routine,/:x:/s/AIStrategy/IQBY4dnQg3ZtQKvurd17qal8AVmnwrYdglmEcqaLSFTQUOk?e=Y6cPH9,,,"Insufficient manager and trainer resourcing is resulting in inadequate SR sales-skills training delivery. Implement more efficient and effective training to strengthen sales skills, using generative AI role‑play to develop SPIN selling proficiency.","01/28/2026: our biz wants to utilize TalkAId because it's a Japanese tool with a solid history in the pharma world. The best part is the AI: it can role-play characters like a 'difficult doctor' or an 'impatient boss' and instantly score on logic and empathy. Mindtickle and Solers.io doesn't support Japanese UI nor do they support users with Japanese
OFFLINE REVIEW, He is from Tokyo.
03/04/2026: Risk Review: Use case risk is accurate (Medium), acceptable, and no escalation to the AI Operating Committee is required. Complete the downstream reviews/assessments",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Abreu, Matthew",1/27/26,1/27/26 18:58,2026,,3/4/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 6:28,30,Not Assessed,,Required,,,,,0,Commercial US,,,,,,,,0
213,ECR-Assistant,,,In-Progress,1. Ideation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Ballestero, Michael","Heller, Amanda",Co-Build,"Baumann, Oliver","Willard, Richie",Trauma & Extremities,,,Routine,/:x:/s/AIStrategy/IQBajMvepXb7QLWJRa5kLZi6AQUNa_ifQ7glu-Kngdiu9SU?e=Vy1DTg,,,"Teams across T&E face recurring inefficiencies due to insufficient detail in Enterprise Change Requests (ECRs). Vague or incomplete descriptions lead to frequent clarification loops, consuming time and resources across multiple departments. This impacts the quality of initial GIA assessments and delays downstream processes.","02/05/2026; CC Owner in the meeting invite and Ehsan that is his manager. Richie will present.
02/13/2026: Continue with I&T.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Perez, Alfonso",1/28/26,1/28/26 19:22,2026,2/24/26,,,,,,0%,,No,,,,,,,,,,,,3/7/26 18:50,30,Not Assessed,,Required,,,,,0,Commercial US,,,,,,,,0
214,Project Intel,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Ballestero, Michael","Heller, Amanda",Build,"Melikian, Marta","Sperry, Brad",Medical,,,Routine,/:x:/s/AIStrategy/IQA6sbZANsGgQpNdk4GUXsNBAYEqKKjCoBjhhtjPMVVWSfM?e=eAZxqu,,,"Proactive regulatory intelligence to maintain a state of the art QMS (that covers all Stryker product types) and captures regulatory agency shifts (e.g., trend seen in writing up guidance documents), easier regulatory assessments for new markets that include both QMS and product impact assessment capabilities, easier regulatory assessments for changes in requirements. Seeking something that allows us to enter our product types, company, and countries marketing the product in and result in an informed set of expectations/insight into foreseable risks.","02/06/2026: I&T: Please invite marta.melikian@stryker.com as well
02/13/2026: I&T required.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Elizondo, Carlos",1/30/26,2/3/26 5:57,2026,2/24/26,,,,,,0%,,No,,,,,,,,,,,,4/9/26 8:31,37,Not Assessed,,Required,,,,,0,Commercial US,,,,,,,,0
215,NAVEX translations,,,In-Progress,3. Evaluation,01. Use Case Submission,Pending Assessments / AI ARC,"De la Torre, Gustavo","Heller, Amanda",Add-On,"Mickley, Adam","Eavey, Ryan",Legal,,,Routine,/:x:/s/AIStrategy/IQDeGHQOXsQJS4bsw0xyXg7jAWv9Wp0OlHICPY-pFd9kp80?e=dDrqKC,,,"The NAVEX platform is used for ethics case management capabilities.  Cases can be reported by any internal or external person globally.  The report can be entered in any language.  When cases are created in languages that need to be translated, Stryker pays for a translation company to do this work which is a recurring cost and take time to process each request.

NAVEX offers an AI powered translation services native to their platform.  We are planning to turn on this capability to provide more timely translations at minimal cost.  

NAVEX also offer and AI Rewriter and AI Issue Type Selector that enable users to more consistently document case details.","02/13/2026: I&T not required. Risk review required.
02/16/2026: Ryan confirmed to present it on Feb 25th risk review.
",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",1/30/26,2/3/26 10:59,2026,,2/25/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:12,30,Not Assessed,,Required,,,,,0,Corporate,,,,,,,,0
216,Epiq AI Discovery ,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Add-On,"Sykes, Terry","Roland, Terrence",Legal,,,Routine,/:x:/s/AIStrategy/IQBVSECwHHWqTrLdlYr-YWEwAfRjwS8gZRiEmUtVpGIJ3E8?e=LDDEUg,,,"In response to internal investigations and litigation, large numbers of emails/chats/documents are frequently collected for review.  Our internal teams would like to begin using AI to more quickly and efficiently identify and review these files.","02/13/2026: Platform approved? If yes, no I&T and continue with Risk Rev.
02/18/2026: Risk Rev: Use case risk is accurate (High), acceptable, and no escalation to the AI Operating Committee is required. Complete the following downstream reviews",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",2/3/26,2/5/26 6:21,2026,,2/18/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:06,30,Not Assessed,,Required,,,,,0,Corporate,,,,,,,,0
217,Anaplan AI,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Buy,"Salami, Femi","Lewis, Kymberly",Finance,,,Routine,/:x:/s/AIStrategy/IQD0KSLeeUZJS5yKnNN5KOySAUkIB1cGqaDTIRM7DVg-skg?e=j1hg6Z,,,Conversational AI is an available module in Anaplan and a determination on whether it will be used is TBD.,"02/05/2026: We are not currently using the tool; we do already use Anaplan in T&E for something else. This is a new capability of the tool.
02/13/2026: Is it a new purchase? R/ no we use Anaplan in T&E - it came over to us as part of Wright Medical. But they are an existing supplier to Stryker
02/18/2026: No I&T required. Risk rev yes.
03/04/2026: Risk review: Use case risk is accurate (Medium), acceptable, and no escalation to the AI Operating Committee is required. Complete downstream reviews/assessments",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Abreu, Matthew",2/3/26,2/5/26 9:25,2026,,3/4/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:02,30,Not Assessed,,Required,,,,,0,Corporate,,,,,,,,0
218,Omnex PPAP Tool,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Buy,"Foley, Dara","Dineen, Michael",GQO,,,Routine,/:x:/s/AIStrategy/IQBUZMLwTA4OTaCtR6NCQWenAcTxvB1RI5gXgoZVbT5hvzQ?e=HPFQTt,,,"1. Tracking and reporting tools for PPAP progress are inconsistent across the corporation and this leads to confusion and lost efficiencies.
2. Improve time to market by reducing time spent in reviewing and reworking supplier documents.
3.Improve consistency in review standards across suppliers and accross Stryker divisions","02/05/2026: The BOT uses a large language model to review documents (spreadsheets, texts, PDFs, etc.) and looks for and identifies particular pieces of information that are then populated into a matrix.  That data is then compared to ""acceptance standards"" and provides a result to the supplier/Stryker of where gaps or issues are identified for the user to correct.
02/13/2026: Connect w/ Phillip Vanderpol on the agent he built and see if it's similar or different. We don't have guidelines yet for how to share individually built agents, but it will help connect you with how other groups are trying to do this.
If it is different, I&T required.
***UPDATE risk assessment link.
Michael responded that will proceed with the above request...
03/05/2026: I sent a follow up email to Michael.
03/26/2026: Again, other follow up and not response
04/01/2026: Ask Michael to present the use case in our I&T. No response at the moment. Will try to check for next weeks.
CC Alina, Michael
04/14/2026: Use case risk is accurate (Medium), acceptable, and no escalation to the AI Operating Committee is required. Complete the downstream reviews/assessments",,TRUE,TRUE,,,0-Not Assigned,TRUE,,1011430,Medium,Yes,"Abreu, Matthew",2/3/26,2/5/26 9:37,2026,4/14/26,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:12,30,Not Assessed,,Required,,,,,0,GQO,,,,,,,,0
219,Relativity aiR,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Add-On,"Sykes, Terry","Roland, Terrence",Legal,,,Time-Sensitive,/:x:/s/AIStrategy/IQCpYniOB-64S5y2SD_r1Le3ASymHUIBeAfPdEVvBl7kpqg?e=HbJhf3,,,"In response to internal investigations and litigation, large numbers of emails/chats/documents are frequently collected for review.  Our internal teams would like to begin using AI to more quickly and efficiently identify and review these files.","02/05/2026: Terry: We are not currently using Relativity aiR (the AI piece).  We have used the Relativity database for years, but not yet the AI tool.  It's new.
Relativity is Stryker approved and we recently went the security assessment for the cloud version of Relativity.
 02/13/2026: Platform approved? If yes, no I&T and continue with Risk Rev.
Terry confirmed that the platform is already approved. He told me that this is time sensitive so I scheduled the call for next week.
02/18/2026: Risk Rev: Use case risk is accurate (High), acceptable, and no escalation to the AI Operating Committee is required. Complete the following downstream reviews",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",2/3/26,2/5/26 9:47,2026,,2/18/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 6:27,30,Not Assessed,,Required,,,,,0,Corporate,,,,,,,,0
220,Flex Contract Compliance - Phase 2.0,,,Completed,8. Reject,02. Intake & Triage,Cancelled,"De la Torre, Gustavo","Heller, Amanda",Build,"Peake, Binu","Ramirez, Karla",Finance,,,Routine,/:x:/s/AIStrategy/IQAusABgvSJsTaCn-eG8QZQYAbrUefeziNVZQahZ3zTkJjA?e=uFsMqs,,,"The current SFDC/CPQ solution needs an improvement to support full contract lifecycle management, prevent incorrect or duplicate data from impacting downstream systems, bring externally managed contracts into the platform, and accurately capture data required for compliance, end‑of‑term (EOT), and revenue recognition. Additionally, it needs the optimization of  the upload of non-SFDC data and the simplification of data correction processes. On the other hand, the Flex Compliance report should be streamlined into an interactive dashboard that improves visibility into contract compliance, strengthens exception handling between contracts and invoices, resolves prior reporting gaps, and enables proactive management of under‑ and over‑compliance across the contract lifecycle.

The AI Agent solution would enable the data reformatting process for data that cannot be handled manually (including product ranges and ProCare date for several contract types).","02/10/2026: This is an agent.
I&T required.
02/17/2026: I&T: Kenneth agreed to work with Amber and the team to evaluate and potentially implement an automation solution, with a follow-up walkthrough of the process planned. No risk review is scheduled until we confirm whether there is an AI capability.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Elizondo, Carlos",2/9/26,2/10/26 11:54,2026,2/17/26,,,,,,0%,,No,,,,,,,,,,,,3/9/26 13:26,43,Not Assessed,,Required,1,1,1,0,3,Corporate,,,,,,,,9
221,SafeBase by Drata,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Scheduled for AI OC Review,,,Buy,"Dunn, Brody","Savery, Helen",Joint Replacement,,,Time-Sensitive,/:x:/s/AIStrategy/IQD_Zoubi-lYRaB84buzhLrwAUB-QcM8Ux3gzPs-AoOS0ko?e=eHpPYu,,,Stryker receives frequent and duplicative customer security and privacy questionnaires. Manual response processes increase operational burden and risk inconsistent answers. This use case supports standardization and efficiency by centralizing approved security and compliance content and assisting with draft responses that are reviewed and validated by Stryker personnel.,"02/10/2026: RAG based questionnaire assistance based on previous questionnaires. It retrieves relevant past answers and context, then uses an AI model to suggest accurate, consistent responses for the new questionnaire. He need to complete the process on Feb that will sign the PO with the vendor.
02/10/2026: Matt scheduled a separate meeting with Brody to check the use case.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Abreu, Matthew",2/9/26,2/10/26 12:12,2026,,2/25/26,3/12/26,,,,0%,,No,,,,,,,,,,,,5/4/26 8:08,30,Not Assessed,,Required,,,,,0,Commercial US,,,,,,,,0
222,PO Reading Agent,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Ballestero, Michael","Heller, Amanda",Build,"Langston, Evan M","Bilse, Dan",Trauma & Extremities,,,Routine,/:x:/s/AIStrategy/IQBXLHAa1ID6R40dnbBlRLkaAXuZEDV_BktlswLBWjpb9pc?e=gU566B,,,Matching a Customer Purchase Order (PO) to an internal Stryker Sales Order requires extracting several varying elements out of the PO document and looking for the corresponding order with those same details in our Open Orders table. We believe this logic could be replicated by handing this function off to an LLM-based Agent.,"02/10/2026: This is an Agent.
I&T required.
Confirm if we can change the date one week before.
CC Evan.
04/01/2026: Risk Rev: Use case risk is accurate (High), acceptable, and escalation to the AI Operating Committee is not required. It is needed to connect with the legal team to review contracts and compliance. Complete the following downstream reviews/assessments",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Elizondo, Carlos",2/9/26,2/10/26 13:21,2026,2/24/26,4/1/26,,,,,0%,,No,,,,,,,,,,,,4/6/26 6:46,42,Not Assessed,,Required,,,,,0,Commercial US,,,,,,,,0
224,Basil Systems,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Buy,"Baker, Zachary","Herweg, CJ",Instruments,,,Routine,/:x:/s/AIStrategy/IQC5JGEjWHptSJVMsbQJQB2aAUirahJRb9uevRnsO8FRgY4?e=uFxic8,,,"The application is used to analyze publicly available regulatory and market data from various sources and supports post-market surveillance, adverse event analysis, and competitive clinical strategy.","02/17/2026: CJ confirmed that this is a new purchase. 
It is a new purchase for Instruments. It came to Stryker through the Inari acquisition. You are 100% correct. It’s a new purchase for something we’re already using",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",2/13/26,2/16/26 17:26,2026,3/3/26,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:03,30,Not Assessed,,Required,,,,,0,Commercial US,,,,,,,,0
226,OnePLM iEDA,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Buy,"Mason, Betsy","Maurer, Heather",EDT,,,Routine,/:x:/s/AIStrategy/IQBYZquZvpmORZnJ5qIdkh9uAa-XNRYbJ6pVepW8M33KmFE?e=g3gxI0,,Migrate the data of Medical (Redmond) from existing PLM solutions and other source systems to Sapphire onePLM.  Infosys has been selected to do the professional services and to assist them looking to use their Ai data migration tool iEDA.,"iEDA platform for OnePLM Data migration enables Infosys and Stryker to collaborate and speed up the data preparation for migration. The configurable, and reusable factory model ensure 100% data traceability and improved efficiencies across each stage of migration",02/19/2026: We’ll include this in our formal notes during our next Risk Review. No attendance from the team will be required.,The project has been approved by Debra King and looking to move forward as quick as possible on the SOW that is pending to meet the project timeline.,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Low,Yes,"Abreu, Matthew",2/19/26,2/19/26 12:54,2026,2/24/26,2/25/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:11,30,Not Assessed,,Required,,,,,0,EDT,,,,,,,,0
227,CyclONE,,,In-Progress,2.Prioritization Review,08. PoC (<2 weeks),Pending Risk Review,"Ballestero, Michael",,Build,"Simson, Perry","Anastasio, James",Trauma & Extremities,,,Routine,/:x:/s/AIStrategy/IQCNaBu-r1erQLYqWIL1i-ReASuSxrN33ExH0VzZErOzdsQ?e=arWL0E,,,"Monthly gaps between formal cycle counts create undetected inventory variances across Branch and Consignment locations. The agent conducts month‑to‑month (M2M) comparisons to flag deltas tied to billings, replenishments, transfers, RMAs, and backorders, accelerating discrepancy detection and shortening reconciliation time. This bridges the annual cycle count gap, reduces inventory variability, and improves billing accuracy.","02/23/2026: Matt: Hold an I&T call to clarify support and maintenance responsibilities. 
02/24/2026: CC Paul Pennington in the invite.
03/24/2026: I&T: Matthew and Alfonso discussed the need to score and prioritize the initiative, assigning Gustavo De la Torre to coordinate with Paul and Sharath for further details, with the outcome to determine resource allocation and project scheduling. No risk review is scheduled until the use case is scored and prioritized.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Perez, Alfonso",2/20/26,2/23/26 14:40,2026,3/24/26,,,,,,0%,,No,,,,,,,,,,,,4/28/26 11:51,30,Not Assessed,,Required,,,,,0,Commercial US,,,,,,,,0
228,Lovable.dev,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Buy,"Fasching, Blake","Sperry, Brad",Medical,,,Routine,/:x:/s/AIStrategy/IQCoYGqdl0dQRZ3twd15ibHZAeY_cjggDtg0jjd7V03yN4g?e=mtVEqF,,,rapidly develop POCs and transition to New Product Development process from there,"02/23/2026: Brad confirmed that the use case is a new purchase.
Invite blake.fasching",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",2/20/26,2/23/26 14:57,2026,3/3/26,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:07,30,Not Assessed,,Required,,,,,0,Commercial US,,,,,,,,0
229,Forma.ai - TMIC tool,,,On Hold,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Add-On,"Chimin, Lucas","Cremaschi, Flavio",HR,,,Time-Sensitive,/:x:/s/AIStrategy/IQBEpTrS3lydT78XYTIIE_5IAZabGsSJPK5y9cp33SltyDc?e=5TUq4J,,,"Currently our Sales Operations teams from KSA, UAE and LatAM doesn't have a tool to make the commision and incentive calculations for our sales force and also to make our territory management. The puporse of the Forma.ai tool is to provide specific features to perform all theses tasks.","02/23/2026: We are deploying the same tool, but now in LatAm and EEMEA (Deployed in Canada 10 years ago).
EEMEA Go-live is April/26
LatAM Go-live is July/2026
02/24/2026: Call with Matt and Lucas: This use case will be fast tracked.
03/06/2026:Josh email feedback: Today we met with the Forma.ai team to review their AI capabilities. And these features are still in beta, and Stryker is not part of the program at this time. Their plan is to keep the beta running and release the capabilities later this year. Based on this, I advised @Chimin, Lucas that we can pause the AI Governance process for now. Once they move forward with a formal rollout—or if the business decides to join the beta, which is not currently planned—we can resume the governance work.
Melissa, Matt and me are agree.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Abreu, Matthew",2/19/26,2/23/26 15:10,2026,,3/4/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:13,30,Not Assessed,,Required,,,,,0,Corporate,,,,,,,,0
230,Task Intelligence,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Add-On,"Leiva, Alejandro","Irwin, Wayne",Finance,,,Routine,/:x:/s/AIStrategy/IQDYDNTJXEYlRIr5w_4NINddAUlKDatBn31M1liZePaZ7fQ?e=weTdAR,,,"80% of the cases in the Finance ServiceNow platform are generated via email. The teams working on the cases manually categorize them to get metrics and reporting. The Task Intelligence feature uses AI capabilities to learn from previous categorization and automatically categorizes the tickets/cases, bringing productivity benefits to the teams","02/23/2026: Confirm if this is an add-on and fast track it.
Alejandro confirmed that this is a plugin that is activated in ServiceNow.
03/02/2026: Matt´s meeting: No I&T, schedule Risk Review.
03/25/2026: Risk Rev: Use case risk is accurate (Medium), acceptable, and no escalation to the AI Operating Committee is required. Complete the downstream reviews/assessments",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Abreu, Matthew",2/23/26,2/23/26 17:47,2026,,3/25/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:10,30,Not Assessed,,Required,,,,,0,Corporate,,,,,,,,0
231,LeadTimeSensei,,,New Submission,1. Ideation,,,"Ballestero, Michael","Heller, Amanda",Build,"Williams, John","Griffin, Kayla D",GQO,,"Vallecillo, Kenneth",,,,"ERP lead times drift quietly, poisoning PFEP calculations, causing wrong ROP, inflated safety stock, and avoidable expedites.","AI agent that predicts true lead times, flags drift, identifies causes, and recommends corrected planning lead times with confidence scoring.",,,TRUE,TRUE,,,0-Not Assigned,FALSE,,,,Yes,"Ballestero, Michael",2/24/26,2/24/26 18:39,,,,,,,,0%,,No,,,,,,,,,,,,3/6/26 18:10,59,Not Assessed,,Required,,,,,0,GQO,,,,,,,,0
